"U Adenauerplatz (Berlin)", 009023302#86
"S Adlershof (Berlin)", 009193002#86
"U Afrikanische Str. (Berlin)", 009011102#86
"Ahrensfelde Bhf (Berlin) (S)", 009170004#86
"Alexanderplatz Bhf (Berlin) (S+U)", 009100003#86
"U Alt-Mariendorf (Berlin)", 009070301#86
"S Alt-Reinickendorf (Berlin)", 009085105#86
"U Alt-Tegel (Berlin)", 009089301#86
"U Alt-Tempelhof (Berlin)", 009068202#86
"Altglienicke (Berlin) (S)", 009195510#86
"U Altstadt Spandau (Berlin)", 009029301#86
"Amrumer Str. (Berlin) (U)", 009009101#86
"S Anhalter Bahnhof (Berlin)", 009012101#86
"Attilastr. (Berlin) (S)", 009068301#86
"Augsburger Str. (Berlin) (U)", 009023202#86
"Babelsberg (S)", 009230000#86
"Baumschulenweg (Berlin) (S)", 009191001#86
"U Bayerischer Platz (Berlin)", 009055102#86
"S Bellevue (Berlin)", 009003102#86
"Bergfelde (S)", 009200011#86
"Berlin Hauptbahnhof", 009600001#86
"Potsdam, Schiffbauergasse/Berliner Str.", 009230072#86
"Bernauer Str. (Berlin) (U)", 009007110#86
"Bernau-Friedenstal (S)", 009350161#86
"Bernauer Str. (Berlin) (U)", 009007110#86
"S Betriebsbahnhof Rummelsburg (Berlin)", 009160002#86
"S Betriebsbahnhof Schöneweide (Berlin)", 009193001#86
"S Beusselstr. (Berlin)", 009020202#86
"Biesdorf (Berlin) (S)", 009171001#86
"Biesdorf-Süd (Berlin) (U)", 009171005#86
"Birkenstein (S)", 009320026#86
"Birkenstr. (Berlin) (U)", 009002201#86
"Birkenwerder Bhf (S)", 009200008#86
"Bismarckstr. (Berlin) (U)", 009024201#86
"Blankenburg (Berlin) (S)", 009142001#86
"Blankenfelde (TF) Bhf (S)", 009245027#86
"U Blaschkoallee (Berlin)", 009080201#86
"Blissestr. (Berlin) (U)", 009041102#86
"U Boddinstr. (Berlin)", 009079202#86
"Borgsdorf (S)", 009200007#86
"Bornholmer Str. (Berlin) (S)", 009110011#86
"U Borsigwerke (Berlin)", 009088202#86
"Botanischer Garten (Berlin) (S)", 009066102#86
"Brandenburger Tor (Berlin) (S+U)", 009100025#86
"U Breitenbachplatz (Berlin)", 009051202#86
"U Britz-Süd (Berlin)", 009080402#86
"Buch (Berlin) (S)", 009135001#86
"Buckower Chaussee (Berlin) (S)", 009072101#86
"S+U Bundesplatz (Berlin)", 009044202#86
"Bundestag (Berlin) (U)", 009003254#86
"Bülowstr. (Berlin) (U)", 009056104#86
"Charlottenburg Bhf (Berlin) (S)", 009024101#86
"U Cottbusser Platz (Berlin)", 009175006#86
"U Dahlem-Dorf (Berlin)", 009051303#86
"U Deutsche Oper (Berlin)", 009022201#86
"Eberswalder Str. (Berlin) (U)", 009110006#86
"Eichborndamm (Berlin) (S)", 009096405#86
"Eichwalde (S)", 009260004#86
"Eisenacher Str. (Berlin) (U)", 009054103#86
"U Elsterwerdaer Platz (Berlin)", 009171006#86
"Erkner Bhf (S)", 009310004#86
"U Ernst-Reuter-Platz (Berlin)", 009023101#86
"U Fehrbelliner Platz (Berlin)", 009041101#86
"Feuerbachstr. (Berlin) (S)", 009063101#86
"Flughafen Schönefeld Terminal (Airport)", 009260024#86
"Frankfurter Allee (Berlin) (S+U)", 009120001#86
"Frankfurter Tor (Berlin) (U)", 009120008#86
"U Franz-Neumann-Platz (Berlin)", 009085202#86
"U Französische Str. (Berlin)", 009100027#86
"Fredersdorf (S)", 009320006#86
"Friedenau (Berlin) (S)", 009060101#86
"U Friedrich-Wilhelm-Platz (Berlin)", 009061102#86
"Friedrichsfelde Ost (Berlin) (S)", 009171002#86
"S Friedrichsfelde Ost (Berlin)", 009171002#86
"Friedrichshagen (Berlin) (S)", 009182002#86
"Friedrichstr. Bhf (Berlin) (S+U)", 009100001#86
"S Frohnau (Berlin)", 009092201#86
"Gehrenseestr. (Berlin) (S)", 009152002#86
"S+U Gesundbrunnen Bhf (Berlin)", 009007102#86
"U Gleisdreieck (Berlin)", 009017103#86
"Gneisenaustr. (Berlin) (U)", 009016101#86
"U Görlitzer Bahnhof (Berlin)", 009014101#86
"Greifswalder Str. (Berlin) (S)", 009110003#86
"Grenzallee (Berlin) (U)", 009080202#86
"S Griebnitzsee Bhf", 009230003#86
"Grünau (Berlin) (S)", 009186001#86
"S Grünbergallee (Berlin)", 009196001#86
"Grunewald (Berlin) (S)", 009048101#86
"Güntzelstr. (Berlin) (U)", 009043201#86
"S Hackescher Markt (Berlin)", 009100002#86
"Halemweg (Berlin) (U)", 009018102#86
"S Halensee (Berlin)", 009040101#86
"U Hallesches Tor (Berlin)", 009012103#86
"U Hansaplatz (Berlin)", 009003101#86
"Haselhorst (Berlin) (U)", 009034102#86
